年份,作物编号,作物名称,鲁棒销量/斤,鲁棒需求/斤,鲁棒售价/元每斤
2024,1,黄豆,21214.796530325028,55357.74852459282,3.25
2024,2,黑豆,21226.254600164415,21226.254600164415,7.5
2024,3,红豆,21847.569307083275,21847.569307083275,8.25
2024,4,绿豆,32287.975061867546,32287.975061867546,7.0
2024,5,爬豆,9617.417688319454,9695.48442657948,6.75
2024,6,小麦,158807.60488224434,181126.81924625245,3.5
2024,7,玉米,140878.45911650473,140878.45911650473,3.0
2024,8,谷子,69984.58592715133,69984.58592715133,6.75
2024,9,高粱,29317.81390946462,29317.81390946462,6.0
2024,10,黍子,11973.165565699852,12182.123801744005,7.5
2024,11,荞麦,1450.657689979299,1450.657689979299,40.0
2024,12,南瓜,34273.65336676288,34273.65336676287,1.5
2024,13,红薯,28515.55887840607,35139.19564943985,3.25
2024,14,莜麦,13596.482098021706,13596.482098021706,5.5
2024,15,大麦,9129.960485538038,9771.379113090128,3.5
2024,16,水稻,7132.177551774883,20563.184851550344,7.0
2024,17,豇豆,35527.276041533354,35527.276041533354,8.82
2024,18,刀豆,26244.731440442796,26244.731440442796,7.4418750000000005
2024,19,芸豆,6345.369940289813,6345.369940289813,7.166250000000001
2024,20,土豆,19130.259243350636,29218.902203686055,4.134375
2024,21,西红柿,35023.991774840266,35023.991774840266,6.890625
2024,22,茄子,44443.84423890589,44443.84423890589,6.063750000000001
2024,24,青椒,2538.321087757974,2538.321087757974,5.9193750000000005
2024,25,菜花,3519.7249944892565,3519.7249944892565,6.063750000000001
2024,26,包菜,3971.0536733719173,3971.0536733719173,7.166250000000001
2024,27,油麦菜,4383.205636312717,4383.205636312717,5.5125
2024,28,小青菜,34783.12257922013,34783.12257922013,6.3393749999999995
2024,29,黄瓜,12710.931099161615,12710.931099161615,7.7175
2024,30,生菜,2785.8586301605096,2785.8586301605096,5.788125000000001
2024,31,辣椒,1160.4954236828391,1163.9314791411064,7.993125
2024,32,空心菜,3484.8623394934984,3484.8623394934984,4.96125
2024,33,黄心菜,1750.667911401508,1750.667911401508,4.96125
2024,34,芹菜,1752.602087708993,1752.602087708993,4.41
2024,35,大白菜,145912.15013801985,145912.15013801985,2.625
2024,36,白萝卜,98044.41022152489,98044.41022152489,2.625
2024,37,红萝卜,35138.70148283314,35138.70148283314,3.4125
2024,38,榆黄菇,8620.49445118845,8845.772374500095,55.28892497271824
2024,39,香菇,6772.704336337985,7028.289735588658,18.315051881601626
2024,40,白灵菇,17029.002562792768,17605.884931106353,15.365344791453257
2024,41,羊肚菌,4022.9399114276894,4115.217987604431,95.0
2025,1,黄豆,46508.107712761775,55639.58524740403,3.25
2025,2,黑豆,21529.4339362455,21529.4339362455,7.5
2025,3,红豆,21728.93712170657,21728.93712170657,8.25
2025,4,绿豆,31932.582736692777,32107.91849844921,7.0
2025,5,爬豆,9420.782977311666,9605.676889588043,6.75
2025,6,小麦,194973.58765987778,194973.58765987778,3.5
2025,7,玉米,151549.05275646553,151549.05275646553,3.0
2025,8,谷子,69424.74076285634,69424.74076285634,6.75
2025,9,高粱,14198.100909342065,29022.60320152527,6.0
2025,10,黍子,12192.16519567179,12192.16519567179,7.5
2025,11,荞麦,1438.9400758309616,1462.0986638970771,40.0
2025,12,南瓜,33041.132551766634,34469.56791961754,1.5
2025,13,红薯,35232.586814934344,35232.586814934344,3.25
2025,16,水稻,10384.82586599048,20466.364985129676,7.0
2025,17,豇豆,35583.857754106066,35583.857754106066,9.261000000000001
2025,18,刀豆,26299.90553516819,26299.90553516819,7.813968750000001
2025,19,芸豆,6350.154029587551,6350.154029587551,7.5245625
2025,20,土豆,26248.001428024232,29294.04815256559,4.34109375
2025,21,西红柿,24752.05307136929,35324.542203193676,7.23515625
2025,22,茄子,44166.72048606583,44166.72048606583,6.366937500000001
2025,24,青椒,1703.0575154703631,2571.7364523541974,6.215343750000001
2025,25,菜花,3531.5844205301214,3531.584420530122,6.366937500000001
2025,26,包菜,4005.3745086354384,4005.3745086354384,7.5245625
2025,27,油麦菜,4417.949805189979,4417.949805189979,5.788125
2025,28,小青菜,34784.848215288526,34784.848215288526,6.65634375
2025,29,黄瓜,12688.223867259445,12688.223867259445,8.103375
2025,30,生菜,2773.7148392699855,2773.7148392699855,6.077531250000001
2025,31,辣椒,1162.578304642143,1167.084317309546,8.39278125
