年份,地块名,地块类型,季次,季次编号,作物编号,作物名称,作物类型,种植面积/亩,鲁棒亩产量/斤每亩,亩成本/元,鲁棒售价/元每斤,鲁棒需求/斤
2024,A1,平旱地,第一季,1,7,玉米,粮食,80.0,953.1626220686991,525.0,3.0,140878.45911650473
2024,A2,平旱地,第一季,1,4,绿豆,粮食（豆类）,55.0,330.0062470630444,367.5,7.0,32287.975061867546
2024,A3,平旱地,第一季,1,14,莜麦,粮食,35.0,396.9757103753677,420.0,5.5,13596.482098021706
2024,A4,平旱地,第一季,1,8,谷子,粮食,72.0,384.1959523245998,378.0,6.75,69984.58592715133
2024,A5,平旱地,第一季,1,7,玉米,粮食,68.0,953.1626220686991,525.0,3.0,140878.45911650473
2024,A6,平旱地,第一季,1,1,黄豆,粮食（豆类）,55.0,385.72357327863693,420.0,3.25,55357.74852459282
2024,B1,梯田,第一季,1,3,红豆,粮食（豆类）,60.0,364.65455444277194,367.5,8.25,21847.569307083275
2024,B2,梯田,第一季,1,6,小麦,粮食,46.0,735.2203929733535,472.5,3.5,181126.81924625245
2024,B3,梯田,第一季,1,6,小麦,粮食,40.0,735.2203929733535,472.5,3.5,181126.81924625245
2024,B4,梯田,第一季,1,9,高粱,粮食,28.0,573.8268824445895,420.0,6.0,29317.81390946462
2024,B5,梯田,第一季,1,10,黍子,粮食,25.0,478.92662262799405,378.0,7.5,12182.123801744005
2024,B6,梯田,第一季,1,6,小麦,粮食,86.0,735.2203929733535,472.5,3.5,181126.81924625245
2024,B7,梯田,第一季,1,4,绿豆,粮食（豆类）,55.0,313.4753450333621,367.5,7.0,32287.975061867546
2024,B8,梯田,第一季,1,6,小麦,粮食,44.0,735.2203929733535,472.5,3.5,181126.81924625245
2024,B9,梯田,第一季,1,4,绿豆,粮食（豆类）,50.0,313.4753450333621,367.5,7.0,32287.975061867546
2024,B10,梯田,第一季,1,9,高粱,粮食,25.0,573.8268824445895,420.0,6.0,29317.81390946462
2024,B11,梯田,第一季,1,8,谷子,粮食,60.0,360.8102656445403,378.0,6.75,69984.58592715133
2024,B12,梯田,第一季,1,8,谷子,粮食,45.0,360.8102656445403,378.0,6.75,69984.58592715133
2024,B13,梯田,第一季,1,2,黑豆,粮食（豆类）,35.0,452.5213489957247,420.0,7.5,21226.254600164415
