方案,年份,情景编号,收入/元,成本/元,互补收益估计/元,利润/元,产量/斤,销量/斤,滞销量/斤,滞销比例,种植面积/亩
问题三方案,2024,0,6452878.692715731,872310.5867537102,351659.774943288,5932227.88090531,1377930.2892677693,1151682.879852617,226247.4094151524,0.16419365419086623,1308.9999999999964
问题三方案,2024,1,6355921.458160429,875227.7387606938,317281.7008965972,5797975.420296333,1279400.3672422275,1129018.7454552408,150381.6217869867,0.11754070550342051,1308.9999999999964
问题三方案,2024,2,6515021.438707877,878599.0844795142,350804.3827707239,5987226.736999086,1416527.9004033848,1174320.178538405,242207.7218649797,0.17098690523215687,1308.9999999999964
问题三方案,2024,3,6466284.90113309,874375.4233308461,352572.4713964442,5944481.949198688,1378174.314602376,1153545.5670803117,224628.74752206425,0.16299008415845642,1308.9999999999964
问题三方案,2024,4,6535011.760509338,875694.0641398467,338589.95784182876,5997907.65421132,1355430.1353259315,1169542.398551157,185887.7367747745,0.13714298651776344,1308.9999999999964
问题三方案,2024,5,6225495.170277413,845161.4994251253,308668.22047442995,5689001.891326718,1233442.8901513997,1116128.2599401227,117314.63021127693,0.09511152169913362,1308.9999999999964
问题三方案,2024,6,6388171.064742667,857788.4533097541,335421.2610468859,5865803.872479798,1360333.5043636514,1144939.6957535876,215393.80861006374,0.1583389719646893,1308.9999999999964
问题三方案,2024,7,6613945.460379141,887327.7656437381,340621.4934204785,6067239.188155882,1330261.7376717306,1170582.3976555828,159679.34001614782,0.12003603162759838,1308.9999999999964
问题三方案,2024,8,6579271.573541425,877448.9027923013,340023.1241206813,6041845.794869806,1352236.9317288024,1176808.9923882433,175427.93934055907,0.12973165813203952,1308.9999999999964
问题三方案,2024,9,6523481.161606118,869898.8593331468,332074.7640042259,5985657.066277198,1354747.9872187981,1174385.1905717028,180362.79664709535,0.13313383621803154,1308.9999999999964
问题三方案,2024,10,6568985.820400858,870934.6365985926,345921.2016325531,6043972.385434818,1408107.422663958,1185769.6887172484,222337.73394670966,0.15789827563445072,1308.9999999999964
问题三方案,2024,11,6392863.05280832,859965.2811095683,328189.9712981527,5861087.742996904,1327184.425654446,1155786.149795359,171398.275859087,0.12914427908131085,1308.9999999999964
问题三方案,2024,12,6376910.129925397,880389.0267620261,334832.6169888036,5831353.720152174,1338212.2205843811,1145274.454640474,192937.7659439072,0.14417576149443143,1308.9999999999964
问题三方案,2024,13,6382039.612654824,853449.413698203,332351.06614405586,5860941.265100677,1352420.9458251973,1139947.7565939482,212473.18923124904,0.15710581079591734,1308.9999999999964
问题三方案,2024,14,6268574.555803095,867764.145967173,309185.8530734557,5709996.262909377,1227401.983861511,1107898.7464243812,119503.23743712995,0.09736275401899107,1308.9999999999964
问题三方案,2024,15,6326086.388863319,862027.6293250138,314490.7175046905,5778549.477042995,1242851.9976984865,1114073.5006056034,128778.4970928831,0.10361531166329951,1308.9999999999964
问题三方案,2024,16,6240623.0982848285,843076.6815297622,308955.20802189753,5706501.624776964,1246228.6164506583,1120095.8417797894,126132.77467086888,0.10121158590476231,1308.9999999999964
问题三方案,2024,17,6651857.9445246635,879853.2172459685,343906.56241269654,6115911.289691391,1400643.5930052823,1200736.2229922626,199907.37001301977,0.142725366403947,1308.9999999999964
问题三方案,2024,18,6352943.372047488,877298.1579274515,310909.0800912712,5786554.294211308,1246098.5125806734,1125381.9958279277,120716.51675274572,0.09687558048901085,1308.9999999999964
问题三方案,2024,19,6585661.492119581,853888.905588184,337613.9770887522,6069386.563620149,1352286.1926446678,1187718.2875182398,164567.905126428,0.12169606258020156,1308.9999999999964
问题三方案,2024,20,6544545.778312402,855018.3745450452,332667.92783475656,6022195.331602113,1355024.5503654904,1190956.0656099657,164068.48475552467,0.12108155878893155,1308.9999999999964
问题三方案,2024,21,6622686.806018986,879177.7788054738,348395.224342646,6091904.251556158,1396416.9137546138,1178337.6773186177,218079.23643599614,0.15617057791833525,1308.9999999999964
问题三方案,2024,22,6613675.476610504,877424.7944247858,350178.92076998716,6086429.602955706,1402526.6364712908,1185185.81929967,217340.8171716209,0.15496377146778686,1308.9999999999964
问题三方案,2024,23,6494063.505867485,870708.6202195497,316192.15918088844,5939547.044828823,1304170.9747649436,1178002.565058482,126168.40970646148,0.09674223100172993,1308.9999999999964
问题三方案,2024,24,6471729.640822936,880073.8173508296,333165.2449614855,5924821.068433591,1341833.9737573895,1163393.8836633817,178440.09009400778,0.13298224190459398,1308.9999999999964
问题三方案,2024,25,6324803.957126899,841879.5140230103,317861.27958694514,5800785.722690833,1289639.2308401417,1144846.17739308,144793.05344706168,0.11227407633430596,1308.9999999999964
问题三方案,2024,26,6620663.433847863,883010.2471542233,354583.93436972064,6092237.121063361,1412248.0016229423,1181449.0165047303,230798.98511821195,0.1634266678748916,1308.9999999999964
问题三方案,2024,27,6447374.265776356,876099.4845457794,359216.5452122996,5930491.326442876,1412747.7460853583,1141790.0760210028,270957.6700643555,0.19179479904686692,1308.9999999999964
问题三方案,2024,28,6144596.925650203,843310.3437009692,302262.3482987062,5603548.930247939,1225413.7503381323,1109838.1789211305,115575.57141700177,0.09431554965423772,1308.9999999999964
问题三方案,2024,29,6615393.3366701715,882878.9952501011,352377.5990127438,6084891.940432814,1378957.9330200113,1161479.902068037,217478.03095197421,0.15771186759532438,1308.9999999999964
问题三方案,2024,30,6592271.170614628,881287.8529609947,337309.8025627258,6048293.120216359,1326551.6516126753,1173303.8995859672,153247.7520267081,0.11552339619826063,1308.9999999999964
问题三方案,2024,31,6354556.41743985,871339.7974333895,310197.5944885694,5793414.21449503,1252089.4954111401,1137134.0614528973,114955.43395824288,0.09181087644257868,1308.9999999999964
问题三方案,2024,32,6490677.671749101,876292.6881376124,321944.8141988079,5936329.7978102965,1294366.6433217672,1158731.1803112186,135635.4630105486,0.10478905935219696,1308.9999999999964
问题三方案,2024,33,6338428.967392303,878283.5764707316,324737.107130676,5784882.498052247,1294616.7797266424,1127212.317247633,167404.46247900953,0.12930812044190937,1308.9999999999964
问题三方案,2024,34,6350059.923749149,880656.8945418893,326352.55069572054,5795755.57990298,1300802.3468872895,1127780.6603545074,173021.68653278216,0.1330115116618666,1308.9999999999964
问题三方案,2024,35,6350525.6221051235,880615.0075732729,362055.72352918854,5831966.338061039,1423128.9200203638,1126104.7560002478,297024.164020116,0.20871205682185548,1308.9999999999964
