年份,作物编号,作物名称,替代组,鲁棒销量/斤,鲁棒需求/斤,鲁棒售价/元每斤
2024,1,黄豆,豆类粮食,41536.963695913844,55180.659023726934,3.220267380927674
2024,2,黑豆,豆类粮食,21265.10183673859,21265.10183673859,7.432506806376514
2024,3,红豆,豆类粮食,21440.53028345028,21785.454627284973,8.169300681130904
2024,4,绿豆,豆类粮食,32082.14207167914,32082.14207167914,6.937473102786379
2024,5,爬豆,豆类粮食,9515.493403064953,9561.003161433358,6.679531014726605
2024,6,小麦,主粮,154328.7015518669,180882.6806301052,3.464652807662425
2024,7,玉米,主粮,139522.77802217455,140482.10779265375,2.97222396887386
2024,8,谷子,杂粮薯类,69151.35387515622,69151.35387515622,6.686298954175946
2024,9,高粱,杂粮薯类,29045.409551098714,29045.409551098714,5.946957776591104
2024,10,黍子,杂粮薯类,11870.210520372797,12090.142375611447,7.435892144501732
2024,11,荞麦,杂粮薯类,1410.096291747655,1455.429138269514,39.659607119001045
2024,13,红薯,杂粮薯类,34965.43043187864,34965.43043187864,3.220934007408846
2024,14,莜麦,杂粮薯类,13531.889530547205,13531.889530547209,5.456966948396285
2024,15,大麦,杂粮薯类,8922.12251013153,9665.321525578354,3.4693930010006806
2024,16,水稻,主粮,11832.32070585449,20354.662301755958,6.932628121007025
2024,17,豇豆,第一季蔬菜,35535.69749912574,35535.69749912574,8.690580004209995
2024,18,刀豆,第一季蔬菜,26105.36592658234,26105.36592658234,7.332239263808847
2024,19,芸豆,第一季蔬菜,6291.757345436937,6291.757345436937,7.060474633671749
2024,20,土豆,第一季蔬菜,16613.994924719056,29188.164925007866,4.07525923977029
2024,21,西红柿,第一季蔬菜,35255.658029086706,35255.658029086706,6.795333365995077
2024,22,茄子,第一季蔬菜,44221.24197943887,44221.24197943887,5.970440607387709
2024,24,青椒,第一季蔬菜,1698.2173130383328,2536.2644344516802,5.830631400013877
2024,25,菜花,第一季蔬菜,2256.9350327420784,3496.4409116651095,5.974390373215046
2024,26,包菜,第一季蔬菜,3921.749866709282,3921.749866709282,7.058687758896603
2024,27,油麦菜,第一季蔬菜,4363.832026630071,4363.832026630071,5.438360550231527
2024,28,小青菜,第一季蔬菜,34489.49696184868,34489.49696184868,6.254289030519046
2024,29,黄瓜,第一季蔬菜,12697.580690457678,12697.580690457678,7.602158253435641
2024,30,生菜,第一季蔬菜,2770.8244247825764,2770.8244247825764,5.694791693892751
2024,31,辣椒,第一季蔬菜,1141.8432683110955,1169.5777777355968,7.867893992522071
2024,32,空心菜,第一季蔬菜,3502.275611224996,3502.275611224996,4.882739483555564
2024,35,大白菜,第二季根茎类蔬菜,131961.43379417117,145866.57428115705,2.5902379370229416
2024,36,白萝卜,第二季根茎类蔬菜,89445.83150008981,97281.81230830587,2.584895053571294
2024,37,红萝卜,第二季根茎类蔬菜,34910.489488797095,34910.489488797095,3.360385682212536
2024,38,榆黄菇,食用菌,8748.206046385973,8748.206046385973,55.16795933597367
2024,39,香菇,食用菌,4537.7330800204945,7001.315454272324,18.248840522481427
2024,40,白灵菇,食用菌,16988.139364145252,17466.700152555994,15.366967519928103
2024,41,羊肚菌,食用菌,3966.185361203789,4091.073730340608,94.5096166667614
2025,1,黄豆,豆类粮食,41792.702087374346,55347.45103373082,3.2183305028214
