年份,地块名,地块类型,季次,季次编号,作物编号,作物名称,作物类型,替代组,统计季次,种植面积/亩,鲁棒亩产量/斤每亩,亩成本/元,鲁棒售价/元每斤,鲁棒需求/斤
2024,A1,平旱地,第一季,1,7,玉米,粮食,主粮,单季,80.0,942.721473122801,533.4046583814458,2.97222396887386,140482.10779265375
2024,A2,平旱地,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,55.0,377.61598121270737,427.91651331879683,3.220267380927674,55180.659023726934
2024,A3,平旱地,第一季,1,14,莜麦,粮食,杂粮薯类,单季,35.0,397.4875119338397,426.92697323249024,5.456966948396285,13531.889530547209
2024,A4,平旱地,第一季,1,6,小麦,粮食,主粮,单季,72.0,757.9544014851698,480.75484395324463,3.464652807662425,180882.6806301052
2024,A5,平旱地,第一季,1,7,玉米,粮食,主粮,单季,68.0,942.721473122801,533.4046583814458,2.97222396887386,140482.10779265375
2024,A6,平旱地,第一季,1,6,小麦,粮食,主粮,单季,55.0,757.9544014851698,480.75484395324463,3.464652807662425,180882.6806301052
2024,B1,梯田,第一季,1,3,红豆,粮食（豆类）,豆类粮食,单季,60.0,357.34217139083785,373.87995533739274,8.169300681130904,21785.454627284973
2024,B2,梯田,第一季,1,6,小麦,粮食,主粮,单季,46.0,716.8949699166704,480.2667786384018,3.464652807662425,180882.6806301052
2024,B3,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,40.0,359.5722290219957,384.28507484732785,6.686298954175946,69151.35387515622
2024,B4,梯田,第一季,1,9,高粱,粮食,杂粮薯类,单季,28.0,563.6861735845226,426.95348858529155,5.946957776591104,29045.409551098714
2024,B5,梯田,第一季,1,10,黍子,粮食,杂粮薯类,单季,25.0,474.8084208149119,384.31177071632777,7.435892144501732,12090.142375611447
2024,B6,梯田,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,86.0,312.9916696109201,373.90898832962927,6.937473102786379,32082.14207167914
2024,B7,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,55.0,359.5722290219957,384.28507484732785,6.686298954175946,69151.35387515622
2024,B8,梯田,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,44.0,356.71812519488503,427.18816570333746,3.220267380927674,55180.659023726934
2024,B9,梯田,第一季,1,2,黑豆,粮食（豆类）,豆类粮食,单季,50.0,450.00903628374476,427.14502278599497,7.432506806376514,21265.10183673859
2024,B10,梯田,第一季,1,9,高粱,粮食,杂粮薯类,单季,25.0,563.6861735845226,426.95348858529155,5.946957776591104,29045.409551098714
2024,B11,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,60.0,359.5722290219957,384.28507484732785,6.686298954175946,69151.35387515622
2024,B12,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,45.0,359.5722290219957,384.28507484732785,6.686298954175946,69151.35387515622
2024,B13,梯田,第一季,1,6,小麦,粮食,主粮,单季,35.0,716.8949699166704,480.2667786384018,3.464652807662425,180882.6806301052
2024,B14,梯田,第一季,1,13,红薯,粮食,杂粮薯类,单季,20.0,1988.4410604006005,2133.8864206807825,3.220934007408846,34965.43043187864
